C,A,L,final_value,total_return,avg_picks
0.6000000000000001,0.1,0.05,172129.54,0.7213,1.40
0.6000000000000001,0.1,0.1,647657.64,5.4766,1.00
0.6000000000000001,0.1,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.15000000000000002,0.0,492405.33,3.9241,56.55
0.6000000000000001,0.15000000000000002,0.05,203413.25,1.0341,1.36
0.6000000000000001,0.15000000000000002,0.1,647657.64,5.4766,1.00
0.6000000000000001,0.15000000000000002,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.2,0.0,503752.31,4.0375,54.25
0.6000000000000001,0.2,0.05,238077.85,1.3808,1.31
0.6000000000000001,0.2,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.2,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.25,0.0,499358.09,3.9936,52.18
0.6000000000000001,0.25,0.05,238077.85,1.3808,1.31
0.6000000000000001,0.25,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.25,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.3,0.0,505569.56,4.0557,50.85
0.6000000000000001,0.3,0.05,318949.13,2.1895,1.33
0.6000000000000001,0.3,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.3,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.35000000000000003,0.0,524080.35,4.2408,49.63
0.6000000000000001,0.35000000000000003,0.05,318949.13,2.1895,1.33
0.6000000000000001,0.35000000000000003,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.35000000000000003,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.4,0.0,528861.16,4.2886,48.98
0.6000000000000001,0.4,0.05,285197.48,1.8520,1.36
0.6000000000000001,0.4,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.4,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.45,0.0,536519.28,4.3652,48.47
0.6000000000000001,0.45,0.05,285197.48,1.8520,1.36
0.6000000000000001,0.45,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.45,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.5,0.0,534952.66,4.3495,48.07
0.6000000000000001,0.5,0.05,285197.48,1.8520,1.36
0.6000000000000001,0.5,0.1,765709.34,6.6571,1.00
0.6000000000000001,0.5,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.05,0.0,462220.57,3.6222,60.95
0.6500000000000001,0.05,0.05,172129.54,0.7213,1.40
0.6500000000000001,0.05,0.1,647657.64,5.4766,1.00
0.6500000000000001,0.05,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.1,0.0,480682.68,3.8068,57.90
0.6500000000000001,0.1,0.05,172129.54,0.7213,1.40
0.6500000000000001,0.1,0.1,647657.64,5.4766,1.00
0.6500000000000001,0.1,0.15,673548.32,5.7355,0.00
0.6500000000000001,0.15000000000000002,0.0,483597.73,3.8360,54.85
